"","Talla","Lance","Frecuencia"
"264","4","8",0
"265","4.5","8",0
"266","5","8",0
"267","5.5","8",0
"268","6","8",0
"269","6.5","8",0
"270","7","8",0
"271","7.5","8",0
"272","8","8",0
"273","8.5","8",0
"274","9","8",0
"275","9.5","8",0
"276","10","8",0
"277","10.5","8",0
"278","11","8",0
"279","11.5","8",0.005
"280","12","8",0.025
"281","12.5","8",0.085
"282","13","8",0.205
"283","13.5","8",0.21
"284","14","8",0.335
"285","14.5","8",0.11
"286","15","8",0.01
"287","15.5","8",0.01
"288","16","8",0.005
"289","16.5","8",0
"290","17","8",0
"291","17.5","8",0
"292","18","8",0
"293","18.5","8",0
"294","19","8",0
"295","19.5","8",0
"296","20","8",0
"297","2","9",0
"298","2.5","9",0
"299","3","9",0
"300","3.5","9",0
"301","4","9",0
"302","4.5","9",0.005
"303","5","9",0
"304","5.5","9",0.01
"305","6","9",0.02
"306","6.5","9",0.035
"307","7","9",0.02
"308","7.5","9",0.02
"309","8","9",0.05
"310","8.5","9",0.05
"311","9","9",0.085
"312","9.5","9",0.155
"313","10","9",0.28
"314","10.5","9",0.14
"315","11","9",0.115
"316","11.5","9",0.015
"317","12","9",0
"318","12.5","9",0
"319","13","9",0
"320","13.5","9",0
"321","14","9",0
"322","14.5","9",0
"323","15","9",0
"324","15.5","9",0
"325","16","9",0
"326","16.5","9",0
"327","17","9",0
"328","17.5","9",0
"329","18","9",0
"330","18.5","9",0
"331","19","9",0
"332","19.5","9",0
"333","20","9",0
"334","2","10",0
"335","2.5","10",0
"336","3","10",0
"337","3.5","10",0
"338","4","10",0
"339","4.5","10",0
"340","5","10",0
"341","5.5","10",0
"342","6","10",0
"343","6.5","10",0
"344","7","10",0
"345","7.5","10",0
"346","8","10",0
"347","8.5","10",0
"348","9","10",0
"349","9.5","10",0
"350","10","10",0
"351","10.5","10",0
"352","11","10",0.015
"353","11.5","10",0.015
"354","12","10",0.12
"355","12.5","10",0.205
"356","13","10",0.335
"357","13.5","10",0.185
"358","14","10",0.115
"359","14.5","10",0.01
"360","15","10",0
"361","15.5","10",0
"362","16","10",0
"363","16.5","10",0
"364","17","10",0
"365","17.5","10",0
"366","18","10",0
"367","18.5","10",0
"368","19","10",0
"369","19.5","10",0
"370","20","10",0
"371","2","11",0
"372","2.5","11",0
"373","3","11",0
"374","3.5","11",0
"375","4","11",0
"376","4.5","11",0
"377","5","11",0.005
"378","5.5","11",0.095
"379","6","11",0.315
"380","6.5","11",0.29
"381","7","11",0.13
"382","7.5","11",0.105
"383","8","11",0.045
"384","8.5","11",0.015
"385","9","11",0
"386","9.5","11",0
"387","10","11",0
"388","10.5","11",0
"389","11","11",0
"390","11.5","11",0
"391","12","11",0
"392","12.5","11",0
"393","13","11",0
"394","13.5","11",0
"395","14","11",0
"396","14.5","11",0
"397","15","11",0
"398","15.5","11",0
"399","16","11",0
"400","16.5","11",0
"401","17","11",0
"402","17.5","11",0
"403","18","11",0
"404","18.5","11",0
"405","19","11",0
"406","19.5","11",0
"407","20","11",0
"408","2","12",0
"409","2.5","12",0
"410","3","12",0
"411","3.5","12",0
"412","4","12",0
"413","4.5","12",0.01
"414","5","12",0.135
"415","5.5","12",0.115
"416","6","12",0.11
"417","6.5","12",0.11
"418","7","12",0.155
"419","7.5","12",0.095
"420","8","12",0.06
"421","8.5","12",0.02
"422","9","12",0.01
"423","9.5","12",0.005
"424","10","12",0.01
"425","10.5","12",0
"426","11","12",0
"427","11.5","12",0
"428","12","12",0
"429","12.5","12",0
"430","13","12",0.01
"431","13.5","12",0.015
"432","14","12",0.07
"433","14.5","12",0.035
"434","15","12",0.02
"435","15.5","12",0.005
"436","16","12",0.005
"437","16.5","12",0.005
"438","17","12",0
"439","17.5","12",0
"440","18","12",0
"441","18.5","12",0
"442","19","12",0
"443","19.5","12",0
"444","20","12",0
"445","2","13",0
"446","2.5","13",0
"447","3","13",0
"448","3.5","13",0
"449","4","13",0
"450","4.5","13",0
"451","5","13",0
"452","5.5","13",0
"453","6","13",0
"454","6.5","13",0.005
"455","7","13",0.025
"456","7.5","13",0.015
"457","8","13",0.03
"458","8.5","13",0.005
"459","9","13",0.07
"460","9.5","13",0.16
"461","10","13",0.285
"462","10.5","13",0.17
"463","11","13",0.17
"464","11.5","13",0.05
"465","12","13",0.005
"466","12.5","13",0
"467","13","13",0.005
"468","13.5","13",0.005
"469","14","13",0
"470","14.5","13",0
"471","15","13",0
"472","15.5","13",0
"473","16","13",0
"474","16.5","13",0
"475","17","13",0
"476","17.5","13",0
"477","18","13",0
"478","18.5","13",0
"479","19","13",0
"480","19.5","13",0
"481","20","13",0
"482","2","16",0
"483","2.5","16",0
"484","3","16",0
"485","3.5","16",0
"486","4","16",0
"487","4.5","16",0
"488","5","16",0
"489","5.5","16",0
"490","6","16",0
"491","6.5","16",0
"492","7","16",0
"493","7.5","16",0
"494","8","16",0
"495","8.5","16",0
"496","9","16",0
"497","9.5","16",0
"498","10","16",0
"499","10.5","16",0
"500","11","16",0
"501","11.5","16",0
"502","12","16",0.005
"503","12.5","16",0.03
"504","13","16",0.14
"505","13.5","16",0.205
"506","14","16",0.3
