"","Talla","Latitud","Frecuencia"
"241","11","21 00",0.065
"242","11.5","21 00",0.015
"243","12","21 00",0.06
"244","12.5","21 00",0.1025
"245","13","21 00",0.1675
"246","13.5","21 00",0.0925
"247","14","21 00",0.0575
"248","14.5","21 00",0.005
"249","15","21 00",0
"250","15.5","21 00",0
"251","16","21 00",0
"252","16.5","21 00",0
"253","17","21 00",0
"254","17.5","21 00",0
"255","18","21 00",0
"256","18.5","21 00",0
"257","19","21 00",0
"258","19.5","21 00",0
"259","20","21 00",0
"260","2","21 30",0
"261","2.5","21 30",0
"262","3","21 30",0
"263","3.5","21 30",0
"264","4","21 30",0
"265","4.5","21 30",0.005
"266","5","21 30",0.07
"267","5.5","21 30",0.105
"268","6","21 30",0.2125
"269","6.5","21 30",0.2
"270","7","21 30",0.1425
"271","7.5","21 30",0.1
"272","8","21 30",0.0525
"273","8.5","21 30",0.0175
"274","9","21 30",0.005
"275","9.5","21 30",0.0025
"276","10","21 30",0.005
"277","10.5","21 30",0
"278","11","21 30",0
"279","11.5","21 30",0
"280","12","21 30",0
"281","12.5","21 30",0
"282","13","21 30",0.005
"283","13.5","21 30",0.0075
"284","14","21 30",0.035
"285","14.5","21 30",0.0175
"286","15","21 30",0.01
"287","15.5","21 30",0.0025
"288","16","21 30",0.0025
"289","16.5","21 30",0.0025
"290","17","21 30",0
"291","17.5","21 30",0
"292","18","21 30",0
"293","18.5","21 30",0
"294","19","21 30",0
"295","19.5","21 30",0
"296","20","21 30",0
"297","2","22 00",0
"298","2.5","22 00",0
"299","3","22 00",0
"300","3.5","22 00",0
"301","4","22 00",0
"302","4.5","22 00",0
"303","5","22 00",0
"304","5.5","22 00",0
"305","6","22 00",0
"306","6.5","22 00",0.005
"307","7","22 00",0.025
"308","7.5","22 00",0.015
"309","8","22 00",0.03
"310","8.5","22 00",0.005
"311","9","22 00",0.07
"312","9.5","22 00",0.16
"313","10","22 00",0.285
"314","10.5","22 00",0.17
"315","11","22 00",0.17
"316","11.5","22 00",0.05
"317","12","22 00",0.005
"318","12.5","22 00",0
"319","13","22 00",0.005
"320","13.5","22 00",0.005
"321","14","22 00",0
"322","14.5","22 00",0
"323","15","22 00",0
"324","15.5","22 00",0
"325","16","22 00",0
"326","16.5","22 00",0
"327","17","22 00",0
"328","17.5","22 00",0
"329","18","22 00",0
"330","18.5","22 00",0
"331","19","22 00",0
"332","19.5","22 00",0
"333","20","22 00",0
"334","2","22 30",NA
"335","2.5","22 30",NA
"336","3","22 30",NA
"337","3.5","22 30",NA
"338","4","22 30",NA
"339","4.5","22 30",NA
"340","5","22 30",NA
"341","5.5","22 30",NA
"342","6","22 30",NA
"343","6.5","22 30",NA
"344","7","22 30",NA
"345","7.5","22 30",NA
"346","8","22 30",NA
"347","8.5","22 30",NA
"348","9","22 30",NA
"349","9.5","22 30",NA
"350","10","22 30",NA
"351","10.5","22 30",NA
"352","11","22 30",NA
"353","11.5","22 30",NA
"354","12","22 30",NA
"355","12.5","22 30",NA
"356","13","22 30",NA
"357","13.5","22 30",NA
"358","14","22 30",NA
"359","14.5","22 30",NA
"360","15","22 30",NA
"361","15.5","22 30",NA
"362","16","22 30",NA
"363","16.5","22 30",NA
"364","17","22 30",NA
"365","17.5","22 30",NA
"366","18","22 30",NA
"367","18.5","22 30",NA
"368","19","22 30",NA
"369","19.5","22 30",NA
"370","20","22 30",NA
"371","2","23 00",NA
"372","2.5","23 00",NA
"373","3","23 00",NA
"374","3.5","23 00",NA
"375","4","23 00",NA
"376","4.5","23 00",NA
"377","5","23 00",NA
"378","5.5","23 00",NA
"379","6","23 00",NA
"380","6.5","23 00",NA
"381","7","23 00",NA
"382","7.5","23 00",NA
"383","8","23 00",NA
"384","8.5","23 00",NA
"385","9","23 00",NA
"386","9.5","23 00",NA
"387","10","23 00",NA
"388","10.5","23 00",NA
"389","11","23 00",NA
"390","11.5","23 00",NA
"391","12","23 00",NA
"392","12.5","23 00",NA
"393","13","23 00",NA
"394","13.5","23 00",NA
"395","14","23 00",NA
"396","14.5","23 00",NA
"397","15","23 00",NA
"398","15.5","23 00",NA
"399","16","23 00",NA
"400","16.5","23 00",NA
"401","17","23 00",NA
"402","17.5","23 00",NA
"403","18","23 00",NA
"404","18.5","23 00",NA
"405","19","23 00",NA
"406","19.5","23 00",NA
"407","20","23 00",NA
"408","2","23 30",0
"409","2.5","23 30",0
"410","3","23 30",0
"411","3.5","23 30",0
"412","4","23 30",0
"413","4.5","23 30",0
"414","5","23 30",0
"415","5.5","23 30",0
"416","6","23 30",0.00240384615384615
"417","6.5","23 30",0.00480769230769231
"418","7","23 30",0.00240384615384615
"419","7.5","23 30",0.00480769230769231
"420","8","23 30",0.0120192307692308
"421","8.5","23 30",0.00721153846153846
"422","9","23 30",0.00240384615384615
"423","9.5","23 30",0.0144230769230769
"424","10","23 30",0.00721153846153846
"425","10.5","23 30",0.00480769230769231
"426","11","23 30",0
"427","11.5","23 30",0.00721153846153846
"428","12","23 30",0.0264423076923077
"429","12.5","23 30",0.0985576923076923
"430","13","23 30",0.134615384615385
"431","13.5","23 30",0.211538461538462
"432","14","23 30",0.242788461538462
"433","14.5","23 30",0.108173076923077
"434","15","23 30",0.0649038461538462
"435","15.5","23 30",0.0288461538461538
"436","16","23 30",0.00961538461538462
"437","16.5","23 30",0.00480769230769231
"438","17","23 30",0
"439","17.5","23 30",0
"440","18","23 30",0
"441","18.5","23 30",0
"442","19","23 30",0
"443","19.5","23 30",0
"444","20","23 30",0
"445","2","24 00",NA
"446","2.5","24 00",NA
"447","3","24 00",NA
"448","3.5","24 00",NA
"449","4","24 00",NA
"450","4.5","24 00",NA
"451","5","24 00",NA
"452","5.5","24 00",NA
"453","6","24 00",NA
"454","6.5","24 00",NA
"455","7","24 00",NA
"456","7.5","24 00",NA
"457","8","24 00",NA
"458","8.5","24 00",NA
"459","9","24 00",NA
"460","9.5","24 00",NA
"461","10","24 00",NA
"462","10.5","24 00",NA
"463","11","24 00",NA
"464","11.5","24 00",NA
"465","12","24 00",NA
"466","12.5","24 00",NA
"467","13","24 00",NA
"468","13.5","24 00",NA
"469","14","24 00",NA
"470","14.5","24 00",NA
"471","15","24 00",NA
"472","15.5","24 00",NA
"473","16","24 00",NA
"474","16.5","24 00",NA
"475","17","24 00",NA
"476","17.5","24 00",NA
"477","18","24 00",NA
"478","18.5","24 00",NA
"479","19","24 00",NA
"480","19.5","24 00",NA
"481","20","24 00",NA
"482","2","24 30",NA
"483","2.5","24 30",NA
"484","3","24 30",NA
"485","3.5","24 30",NA
"486","4","24 30",NA
"487","4.5","24 30",NA
"488","5","24 30",NA
"489","5.5","24 30",NA
"490","6","24 30",NA
"491","6.5","24 30",NA
"492","7","24 30",NA
"493","7.5","24 30",NA
"494","8","24 30",NA
"495","8.5","24 30",NA
"496","9","24 30",NA
"497","9.5","24 30",NA
"498","10","24 30",NA
"499","10.5","24 30",NA
"500","11","24 30",NA
"501","11.5","24 30",NA
"502","12","24 30",NA
"503","12.5","24 30",NA
"504","13","24 30",NA
"505","13.5","24 30",NA
"506","14","24 30",NA
"507","14.5","24 30",NA
"508","15","24 30",NA
"509","15.5","24 30",NA
"510","16","24 30",NA
"511","16.5","24 30",NA
"512","17","24 30",NA
"513","17.5","24 30",NA
"514","18","24 30",NA
"515","18.5","24 30",NA
"516","19","24 30",NA
"517","19.5","24 30",NA
"518","20","24 30",NA
